npass		_	Jun meʼs xkibʼaʼ romaʼ ri tzʼiʼ.			A cat was bitten by the dog.
npass		_	Jun meʼs xbʼax romaʼ ri tzʼiʼ.				A cat was bitten by the dog.
npass		_	Xbʼax jun meʼs romaʼ ri tzʼiʼ.				A cat was bitten by the dog.
npass		_	A Juan nrajoʼ jun chʼich.				Juan wants a car.
npass		_	Jun chʼich najowäx romaʼ a Juan.			A car is wanted by Juan.
npass		_	Ri cheʼ xutzäq ri jaʼy.					The tree knocked down the house.
npass		_	Ri jaʼy xtzaq romaʼ ri cheʼ.				The house was knocked down by the tree.
npass		_	Ri wäʼy xkitij romaʼ ri achin.  			The tortilla was eaten by the man.
npass		_	Ri wäʼy xtij romaʼ ri achin.  				The tortilla was eaten by the man.
npass		_	A Juan y Maria xebʼax romaʼ jun kumätz.			Juan and Maria were bitten by a snake.
npass		_	Ri alabʼoniʼ xekitij ri wäʼy.				The boys ate the tortillas.
kwo		_	Xubʼa ri tzʼiʼ ri meʼs.					The dog bit the cat.
kwo		_	Ri tzʼiʼ xubʼa ri meʼs.					The dog bit the cat.
kwo		_	Xroqotaj ri tzʼiʼ ri meʼs.				The dog chased the cat.
kwo		_	Xroqotaj ri meʼs ri tzʼiʼ.				The cat chased the dog.
kwo		_	Xroqotaj jun meʼs ri tzʼiʼ.				The dog chased a cat.
kwo		_	Xuloqʼ ri wäʼy Maria.					Maria bought the tortillas.
kwo		_	Xroqotaj ri xta Maria ri a Juan.			Juan chased Maria.
kwo		_	Xroqotaj ri xta Maria ri a Juan.			Maria chased Juan.
kwo		_	Xubʼa jun tzʼiʼ ri a Juan.				Juan bit a dog.
kwo		_	Jun tzʼiʼ xbʼaʼo ri a Juan.				A dog bit Juan.
kwo		_	Nibʼaʼon jun tzʼiʼ.					A dog is barking.
kwo		_	Xirubʼaʼ jun tzʼiʼ rin.					A dog bit me.
kwo		_	Xirubʼaʼ jun tzʼiʼ.					A dog bit me.
kwo		_	Jun tzʼiʼ nibʼaʼon.					A dog is barking.
kwo		_	Jun tzʼiʼ xibʼaʼo.					A dog bit me.
kwo		_	Jun tzʼiʼ xibʼaʼo rin.					A dog bit me.
kwo		_	Nukanoj rixjayil a Manuel rijaʼ.			She is looking for Manuelʼs wife.
kwo		_	Rixjayil a Manuel nukanoj rijaʼ.			Manuelʼs wife is looking for him.
kwo		_	Iwir xroqotaj ri tzʼiʼ ri meʼs.				Yesterday the dog chased the cat.
kwo		_	Iwir ri tzʼiʼ xroqotaj ri meʼs.				Yesterday the dog chased the cat.
kwo		_	Xkanox a Manuel romaʼ ri rixjay il.			Manuel was sought by his wife.
kwo		_	Xkikanoj a Manuel romaʼ ri rixjayil.			Manuel was sought by his wife.
kwo		_	Xoqotäx ri achin romaʼ jun tzʼiʼ.			The man was chased by a dog.
kwo		_	Xkoqotaj ri achin romaʼ jun tzʼiʼ.			The man was chased by a dog.
kwo		_	Rin man wetaman ta wä ri tzʼiʼ xroqotaj ri achin.	I donʼt know if the dog chased the man.
kwo		_	A Manuel xubʼij chweʼ chi ri tzʼiʼ xubʼaʼ ri a Ramon.	Manuel told me that the dog bit Ramon.
#
kwo		_	Ja ri wäʼy xuloqʼ Maria.				It was the tortillas that Maria bought.
#
kwo		_	Ri käʼr xuyawaʼrisaj ri wixjayil.			The fish made my wife sick.
mdrk		183	Xutzʼibʼaj jun ütz wuj ri a Kajiʼ Kawoq.		Kajiʼ Kawoq escribió un buen libro.
mdrk		183	Ri xexaʼ, xekikamisaj ri qatiʼt qamamaʼ.		Los invasores masacraron a nuestros abuelos.
mdrk		187	Yalan yawaʼ ri ixta Ixkikʼ.				Ixkikʼ está muy enferma.
mdrk		187	Kʼoj chi rochoch ri ma Yaxpak.				Don Yaxpak está en su casa.
mdrk		187	E tijonelaʼ ri ajqʼijaʼ.				Los ajqʼijaʼ son maestros.
mdrk		187	Kʼoj kaʼiʼ ruwuj ri ma Qʼanel.				Don Qʼanel tiene dos libros.
mdrk		187	Pakal Bʼalam nubʼiʼ.					Mi nombre es Pakal Bʼalam.
mdrk		187	Wakami ruqʼij ri ixta Ixqʼanil.				Hoy es cumpleaños de Ixqʼanil.

